estrategia,fold,classe,categoria,quantidade
ComparacaoVgg,0,Health,acertos_modelo1,27
ComparacaoVgg,0,Health,erros_modelo1,3
ComparacaoVgg,0,Health,acertos_modelo2,26
ComparacaoVgg,0,Health,erros_modelo2,4
ComparacaoVgg,0,Health,melhorou,1
ComparacaoVgg,0,Health,piorou,2
ComparacaoVgg,0,Health,manteve_acerto,25
ComparacaoVgg,0,Health,manteve_erro,2
ComparacaoVgg,0,Sick,acertos_modelo1,15
ComparacaoVgg,0,Sick,erros_modelo1,1
ComparacaoVgg,0,Sick,acertos_modelo2,10
ComparacaoVgg,0,Sick,erros_modelo2,6
ComparacaoVgg,0,Sick,melhorou,0
ComparacaoVgg,0,Sick,piorou,5
ComparacaoVgg,0,Sick,manteve_acerto,10
ComparacaoVgg,0,Sick,manteve_erro,1
ComparacaoVgg,1,Health,acertos_modelo1,32
ComparacaoVgg,1,Health,erros_modelo1,0
ComparacaoVgg,1,Health,acertos_modelo2,30
ComparacaoVgg,1,Health,erros_modelo2,2
ComparacaoVgg,1,Health,melhorou,0
ComparacaoVgg,1,Health,piorou,2
ComparacaoVgg,1,Health,manteve_acerto,30
ComparacaoVgg,1,Health,manteve_erro,0
ComparacaoVgg,1,Sick,acertos_modelo1,14
ComparacaoVgg,1,Sick,erros_modelo1,1
ComparacaoVgg,1,Sick,acertos_modelo2,11
ComparacaoVgg,1,Sick,erros_modelo2,5
ComparacaoVgg,1,Sick,melhorou,1
ComparacaoVgg,1,Sick,piorou,5
ComparacaoVgg,1,Sick,manteve_acerto,11
ComparacaoVgg,1,Sick,manteve_erro,1
ComparacaoVgg,2,Health,acertos_modelo1,26
ComparacaoVgg,2,Health,erros_modelo1,4
ComparacaoVgg,2,Health,acertos_modelo2,27
ComparacaoVgg,2,Health,erros_modelo2,3
ComparacaoVgg,2,Health,melhorou,3
ComparacaoVgg,2,Health,piorou,2
ComparacaoVgg,2,Health,manteve_acerto,24
ComparacaoVgg,2,Health,manteve_erro,1
ComparacaoVgg,2,Sick,acertos_modelo1,15
ComparacaoVgg,2,Sick,erros_modelo1,1
ComparacaoVgg,2,Sick,acertos_modelo2,9
ComparacaoVgg,2,Sick,erros_modelo2,7
ComparacaoVgg,2,Sick,melhorou,0
ComparacaoVgg,2,Sick,piorou,6
ComparacaoVgg,2,Sick,manteve_acerto,9
ComparacaoVgg,2,Sick,manteve_erro,1
ComparacaoVgg,3,Health,acertos_modelo1,29
ComparacaoVgg,3,Health,erros_modelo1,2
ComparacaoVgg,3,Health,acertos_modelo2,29
ComparacaoVgg,3,Health,erros_modelo2,2
ComparacaoVgg,3,Health,melhorou,2
ComparacaoVgg,3,Health,piorou,2
ComparacaoVgg,3,Health,manteve_acerto,27
ComparacaoVgg,3,Health,manteve_erro,0
ComparacaoVgg,3,Sick,acertos_modelo1,14
ComparacaoVgg,3,Sick,erros_modelo1,1
ComparacaoVgg,3,Sick,acertos_modelo2,12
ComparacaoVgg,3,Sick,erros_modelo2,3
ComparacaoVgg,3,Sick,melhorou,1
ComparacaoVgg,3,Sick,piorou,3
ComparacaoVgg,3,Sick,manteve_acerto,11
ComparacaoVgg,3,Sick,manteve_erro,0
ComparacaoVgg,4,Health,acertos_modelo1,29
ComparacaoVgg,4,Health,erros_modelo1,1
ComparacaoVgg,4,Health,acertos_modelo2,24
ComparacaoVgg,4,Health,erros_modelo2,6
ComparacaoVgg,4,Health,melhorou,0
ComparacaoVgg,4,Health,piorou,5
ComparacaoVgg,4,Health,manteve_acerto,24
ComparacaoVgg,4,Health,manteve_erro,1
ComparacaoVgg,4,Sick,acertos_modelo1,13
ComparacaoVgg,4,Sick,erros_modelo1,3
ComparacaoVgg,4,Sick,acertos_modelo2,12
ComparacaoVgg,4,Sick,erros_modelo2,5
ComparacaoVgg,4,Sick,melhorou,0
ComparacaoVgg,4,Sick,piorou,2
ComparacaoVgg,4,Sick,manteve_acerto,12
ComparacaoVgg,4,Sick,manteve_erro,3
ComparacaoVgg_yolon,0,Health,acertos_modelo1,27
ComparacaoVgg_yolon,0,Health,erros_modelo1,3
ComparacaoVgg_yolon,0,Health,acertos_modelo2,26
ComparacaoVgg_yolon,0,Health,erros_modelo2,4
ComparacaoVgg_yolon,0,Health,melhorou,0
ComparacaoVgg_yolon,0,Health,piorou,1
ComparacaoVgg_yolon,0,Health,manteve_acerto,26
ComparacaoVgg_yolon,0,Health,manteve_erro,3
ComparacaoVgg_yolon,0,Sick,acertos_modelo1,13
ComparacaoVgg_yolon,0,Sick,erros_modelo1,3
ComparacaoVgg_yolon,0,Sick,acertos_modelo2,10
ComparacaoVgg_yolon,0,Sick,erros_modelo2,6
ComparacaoVgg_yolon,0,Sick,melhorou,1
ComparacaoVgg_yolon,0,Sick,piorou,4
ComparacaoVgg_yolon,0,Sick,manteve_acerto,9
ComparacaoVgg_yolon,0,Sick,manteve_erro,2
ComparacaoVgg_yolon,1,Health,acertos_modelo1,28
ComparacaoVgg_yolon,1,Health,erros_modelo1,4
ComparacaoVgg_yolon,1,Health,acertos_modelo2,30
ComparacaoVgg_yolon,1,Health,erros_modelo2,2
ComparacaoVgg_yolon,1,Health,melhorou,3
ComparacaoVgg_yolon,1,Health,piorou,1
ComparacaoVgg_yolon,1,Health,manteve_acerto,27
ComparacaoVgg_yolon,1,Health,manteve_erro,1
ComparacaoVgg_yolon,1,Sick,acertos_modelo1,11
ComparacaoVgg_yolon,1,Sick,erros_modelo1,3
ComparacaoVgg_yolon,1,Sick,acertos_modelo2,11
ComparacaoVgg_yolon,1,Sick,erros_modelo2,5
ComparacaoVgg_yolon,1,Sick,melhorou,1
ComparacaoVgg_yolon,1,Sick,piorou,3
ComparacaoVgg_yolon,1,Sick,manteve_acerto,10
ComparacaoVgg_yolon,1,Sick,manteve_erro,2
ComparacaoVgg_yolon,2,Health,acertos_modelo1,28
ComparacaoVgg_yolon,2,Health,erros_modelo1,2
ComparacaoVgg_yolon,2,Health,acertos_modelo2,27
ComparacaoVgg_yolon,2,Health,erros_modelo2,3
ComparacaoVgg_yolon,2,Health,melhorou,1
ComparacaoVgg_yolon,2,Health,piorou,2
ComparacaoVgg_yolon,2,Health,manteve_acerto,26
ComparacaoVgg_yolon,2,Health,manteve_erro,1
ComparacaoVgg_yolon,2,Sick,acertos_modelo1,13
ComparacaoVgg_yolon,2,Sick,erros_modelo1,3
ComparacaoVgg_yolon,2,Sick,acertos_modelo2,9
ComparacaoVgg_yolon,2,Sick,erros_modelo2,7
ComparacaoVgg_yolon,2,Sick,melhorou,0
ComparacaoVgg_yolon,2,Sick,piorou,4
ComparacaoVgg_yolon,2,Sick,manteve_acerto,9
ComparacaoVgg_yolon,2,Sick,manteve_erro,3
ComparacaoVgg_yolon,3,Health,acertos_modelo1,25
ComparacaoVgg_yolon,3,Health,erros_modelo1,6
ComparacaoVgg_yolon,3,Health,acertos_modelo2,29
ComparacaoVgg_yolon,3,Health,erros_modelo2,2
ComparacaoVgg_yolon,3,Health,melhorou,4
ComparacaoVgg_yolon,3,Health,piorou,0
ComparacaoVgg_yolon,3,Health,manteve_acerto,25
ComparacaoVgg_yolon,3,Health,manteve_erro,2
ComparacaoVgg_yolon,3,Sick,acertos_modelo1,13
ComparacaoVgg_yolon,3,Sick,erros_modelo1,2
ComparacaoVgg_yolon,3,Sick,acertos_modelo2,12
ComparacaoVgg_yolon,3,Sick,erros_modelo2,3
ComparacaoVgg_yolon,3,Sick,melhorou,0
ComparacaoVgg_yolon,3,Sick,piorou,1
ComparacaoVgg_yolon,3,Sick,manteve_acerto,12
ComparacaoVgg_yolon,3,Sick,manteve_erro,2
ComparacaoVgg_yolon,4,Health,acertos_modelo1,27
ComparacaoVgg_yolon,4,Health,erros_modelo1,3
ComparacaoVgg_yolon,4,Health,acertos_modelo2,24
ComparacaoVgg_yolon,4,Health,erros_modelo2,6
ComparacaoVgg_yolon,4,Health,melhorou,1
ComparacaoVgg_yolon,4,Health,piorou,4
ComparacaoVgg_yolon,4,Health,manteve_acerto,23
ComparacaoVgg_yolon,4,Health,manteve_erro,2
ComparacaoVgg_yolon,4,Sick,acertos_modelo1,8
ComparacaoVgg_yolon,4,Sick,erros_modelo1,9
ComparacaoVgg_yolon,4,Sick,acertos_modelo2,12
ComparacaoVgg_yolon,4,Sick,erros_modelo2,5
ComparacaoVgg_yolon,4,Sick,melhorou,5
ComparacaoVgg_yolon,4,Sick,piorou,0
ComparacaoVgg_yolon,4,Sick,manteve_acerto,8
ComparacaoVgg_yolon,4,Sick,manteve_erro,5
