Configuração,Seed,Fold,Acc,Prec,Rec,F1,Arquivo
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,0,0,0.82,0.9286,0.619,0.7429,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetFixedTagTemp_09_01_t0_Frontal.txt
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,1,0,0.8431,0.9375,0.6818,0.7895,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetFixedTagTemp_09_01_t1_Frontal.txt
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,2,0,0.8627,0.8182,0.8571,0.8372,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetFixedTagTemp_09_01_t2_Frontal.txt
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,3,0,0.8163,0.6818,0.8824,0.7692,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetFixedTagTemp_09_01_t3_Frontal.txt
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,4,0,0.8846,0.8182,0.9,0.8571,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetFixedTagTemp_09_01_t4_Frontal.txt
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,5,0,0.92,0.8947,0.8947,0.8947,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetFixedTagTemp_09_01_t5_Frontal.txt
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,6,0,0.9184,0.8636,0.95,0.9048,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetFixedTagTemp_09_01_t6_Frontal.txt
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,7,0,0.92,0.8095,1.0,0.8947,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetFixedTagTemp_09_01_t7_Frontal.txt
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,8,0,0.88,0.8,0.8889,0.8421,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetFixedTagTemp_09_01_t8_Frontal.txt
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,9,0,0.8333,0.8,0.7059,0.75,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetFixedTagTemp_09_01_t9_Frontal.txt
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,10,0,0.902,0.8571,0.9,0.878,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetFixedTagTemp_09_01_t10_Frontal.txt
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,11,0,0.84,0.75,0.8333,0.7895,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetFixedTagTemp_09_01_t11_Frontal.txt
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,12,0,0.875,0.875,0.7778,0.8235,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetFixedTagTemp_09_01_t12_Frontal.txt
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,13,0,0.898,0.8182,0.9474,0.878,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetFixedTagTemp_09_01_t13_Frontal.txt
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,14,0,0.8235,0.7778,0.7368,0.7568,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetFixedTagTemp_09_01_t14_Frontal.txt
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,15,0,0.9216,0.8636,0.95,0.9048,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetFixedTagTemp_09_01_t15_Frontal.txt
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,16,0,0.8723,0.8667,0.7647,0.8125,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetFixedTagTemp_09_01_t16_Frontal.txt
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,17,0,0.9184,0.9333,0.8235,0.875,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetFixedTagTemp_09_01_t17_Frontal.txt
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,18,0,0.875,0.7727,0.9444,0.85,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetFixedTagTemp_09_01_t18_Frontal.txt
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,19,0,0.8824,0.8947,0.8095,0.85,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetFixedTagTemp_09_01_t19_Frontal.txt
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,20,0,0.898,0.8235,0.875,0.8485,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetFixedTagTemp_09_01_t20_Frontal.txt
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,21,0,0.86,0.8235,0.7778,0.8,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetFixedTagTemp_09_01_t21_Frontal.txt
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,22,0,0.92,0.8947,0.8947,0.8947,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetFixedTagTemp_09_01_t22_Frontal.txt
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,23,0,0.8958,0.9286,0.7647,0.8387,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetFixedTagTemp_09_01_t23_Frontal.txt
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,24,0,0.8431,0.7895,0.7895,0.7895,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetFixedTagTemp_09_01_t24_Frontal.txt
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,25,0,0.88,0.8667,0.7647,0.8125,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetFixedTagTemp_09_01_t25_Frontal.txt
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,26,0,0.7692,0.7273,0.7273,0.7273,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetFixedTagTemp_09_01_t26_Frontal.txt
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,27,0,0.9231,0.8261,1.0,0.9048,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetFixedTagTemp_09_01_t27_Frontal.txt
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,28,0,0.8571,0.875,0.7368,0.8,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetFixedTagTemp_09_01_t28_Frontal.txt
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,29,0,0.9,0.85,0.8947,0.8718,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetFixedTagTemp_09_01_t29_Frontal.txt
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,0,0,0.8125,0.6842,0.8125,0.7429,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01_t0_Frontal.txt
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,1,0,0.8125,0.7368,0.7778,0.7568,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01_t1_Frontal.txt
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,2,0,0.8462,0.8889,0.7273,0.8,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01_t2_Frontal.txt
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,3,0,0.8571,0.8667,0.7222,0.7879,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01_t3_Frontal.txt
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,4,0,0.8846,0.8,0.9524,0.8696,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01_t4_Frontal.txt
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,5,0,0.8367,0.7778,0.7778,0.7778,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01_t5_Frontal.txt
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,6,0,0.8723,0.7778,0.875,0.8235,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01_t6_Frontal.txt
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,7,0,0.8235,0.7083,0.8947,0.7907,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01_t7_Frontal.txt
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,8,0,0.8039,0.7083,0.85,0.7727,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01_t8_Frontal.txt
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,9,0,0.8462,0.85,0.7727,0.8095,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01_t9_Frontal.txt
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,10,0,0.8163,0.8125,0.6842,0.7429,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01_t10_Frontal.txt
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,11,0,0.8654,0.7727,0.8947,0.8293,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01_t11_Frontal.txt
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,12,0,0.8298,0.6875,0.7857,0.7333,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01_t12_Frontal.txt
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,13,0,0.92,0.9444,0.85,0.8947,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01_t13_Frontal.txt
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,14,0,0.8367,0.8235,0.7368,0.7778,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01_t14_Frontal.txt
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,15,0,0.82,0.875,0.6667,0.7568,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01_t15_Frontal.txt
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,16,0,0.7843,0.7647,0.65,0.7027,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01_t16_Frontal.txt
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,17,0,0.8163,0.6667,0.875,0.7568,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01_t17_Frontal.txt
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,18,0,0.8723,0.7778,0.875,0.8235,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01_t18_Frontal.txt
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,19,0,0.8367,0.75,0.8333,0.7895,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01_t19_Frontal.txt
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,20,0,0.7959,0.75,0.6667,0.7059,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01_t20_Frontal.txt
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,21,0,0.7,0.6667,0.5714,0.6154,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01_t21_Frontal.txt
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,22,0,0.8776,0.8421,0.8421,0.8421,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01_t22_Frontal.txt
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,23,0,0.8125,0.7647,0.7222,0.7429,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01_t23_Frontal.txt
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,24,0,0.8302,0.8333,0.7143,0.7692,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01_t24_Frontal.txt
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,25,0,0.8367,0.7222,0.8125,0.7647,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01_t25_Frontal.txt
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,26,0,0.78,0.8,0.6,0.6857,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01_t26_Frontal.txt
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,27,0,0.84,0.8,0.8,0.8,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01_t27_Frontal.txt
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,28,0,0.82,0.75,0.7895,0.7692,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01_t28_Frontal.txt
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,29,0,0.8333,0.8,0.7059,0.75,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01_t29_Frontal.txt
Vgg_AUG_CV_DatasetOriginal_9_01,0,0,0.8235,0.72,0.9,0.8,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetOriginal_9_01_t0_Frontal.txt
Vgg_AUG_CV_DatasetOriginal_9_01,1,0,0.8571,0.7895,0.8333,0.8108,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetOriginal_9_01_t1_Frontal.txt
Vgg_AUG_CV_DatasetOriginal_9_01,2,0,0.8333,0.7368,0.8235,0.7778,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetOriginal_9_01_t2_Frontal.txt
Vgg_AUG_CV_DatasetOriginal_9_01,3,0,0.7708,0.6364,0.8235,0.7179,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetOriginal_9_01_t3_Frontal.txt
Vgg_AUG_CV_DatasetOriginal_9_01,4,0,0.9412,0.95,0.9048,0.9268,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetOriginal_9_01_t4_Frontal.txt
Vgg_AUG_CV_DatasetOriginal_9_01,5,0,0.8039,0.8125,0.65,0.7222,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetOriginal_9_01_t5_Frontal.txt
Vgg_AUG_CV_DatasetOriginal_9_01,6,0,0.9038,0.9048,0.8636,0.8837,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetOriginal_9_01_t6_Frontal.txt
Vgg_AUG_CV_DatasetOriginal_9_01,7,0,0.875,0.8333,0.8333,0.8333,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetOriginal_9_01_t7_Frontal.txt
Vgg_AUG_CV_DatasetOriginal_9_01,8,0,0.92,0.9412,0.8421,0.8889,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetOriginal_9_01_t8_Frontal.txt
Vgg_AUG_CV_DatasetOriginal_9_01,9,0,0.8824,0.85,0.85,0.85,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetOriginal_9_01_t9_Frontal.txt
Vgg_AUG_CV_DatasetOriginal_9_01,10,0,0.88,0.8947,0.8095,0.85,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetOriginal_9_01_t10_Frontal.txt
Vgg_AUG_CV_DatasetOriginal_9_01,11,0,0.8163,0.7368,0.7778,0.7568,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetOriginal_9_01_t11_Frontal.txt
Vgg_AUG_CV_DatasetOriginal_9_01,12,0,0.8,0.75,0.75,0.75,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetOriginal_9_01_t12_Frontal.txt
Vgg_AUG_CV_DatasetOriginal_9_01,13,0,0.9245,0.9048,0.9048,0.9048,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetOriginal_9_01_t13_Frontal.txt
Vgg_AUG_CV_DatasetOriginal_9_01,14,0,0.9184,0.8421,0.9412,0.8889,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetOriginal_9_01_t14_Frontal.txt
Vgg_AUG_CV_DatasetOriginal_9_01,15,0,0.8333,0.7368,0.8235,0.7778,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetOriginal_9_01_t15_Frontal.txt
Vgg_AUG_CV_DatasetOriginal_9_01,16,0,0.875,0.7778,0.875,0.8235,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetOriginal_9_01_t16_Frontal.txt
Vgg_AUG_CV_DatasetOriginal_9_01,17,0,0.902,0.8095,0.9444,0.8718,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetOriginal_9_01_t17_Frontal.txt
Vgg_AUG_CV_DatasetOriginal_9_01,18,0,0.8431,0.8095,0.8095,0.8095,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetOriginal_9_01_t18_Frontal.txt
Vgg_AUG_CV_DatasetOriginal_9_01,19,0,0.9038,0.9048,0.8636,0.8837,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetOriginal_9_01_t19_Frontal.txt
Vgg_AUG_CV_DatasetOriginal_9_01,20,0,0.88,0.8182,0.9,0.8571,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetOriginal_9_01_t20_Frontal.txt
Vgg_AUG_CV_DatasetOriginal_9_01,21,0,0.9038,0.9,0.8571,0.878,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetOriginal_9_01_t21_Frontal.txt
Vgg_AUG_CV_DatasetOriginal_9_01,22,0,0.9038,0.9474,0.8182,0.878,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetOriginal_9_01_t22_Frontal.txt
Vgg_AUG_CV_DatasetOriginal_9_01,23,0,0.8163,0.7143,0.8333,0.7692,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetOriginal_9_01_t23_Frontal.txt
Vgg_AUG_CV_DatasetOriginal_9_01,24,0,0.8627,0.85,0.8095,0.8293,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetOriginal_9_01_t24_Frontal.txt
Vgg_AUG_CV_DatasetOriginal_9_01,25,0,0.9216,0.8696,0.9524,0.9091,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetOriginal_9_01_t25_Frontal.txt
Vgg_AUG_CV_DatasetOriginal_9_01,26,0,0.898,0.8421,0.8889,0.8649,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetOriginal_9_01_t26_Frontal.txt
Vgg_AUG_CV_DatasetOriginal_9_01,27,0,0.8958,0.8824,0.8333,0.8571,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetOriginal_9_01_t27_Frontal.txt
Vgg_AUG_CV_DatasetOriginal_9_01,28,0,0.9184,0.8261,1.0,0.9048,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetOriginal_9_01_t28_Frontal.txt
Vgg_AUG_CV_DatasetOriginal_9_01,29,0,0.8261,0.6923,0.6923,0.6923,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetOriginal_9_01_t29_Frontal.txt
Vgg_AUG_CV_DatasetSeg2classes_17_01,0,0,0.7917,0.65,0.8125,0.7222,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetSeg2classes_17_01_t0_Frontal.txt
Vgg_AUG_CV_DatasetSeg2classes_17_01,1,0,0.84,0.7619,0.8421,0.8,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetSeg2classes_17_01_t1_Frontal.txt
Vgg_AUG_CV_DatasetSeg2classes_17_01,2,0,0.8125,0.8571,0.6316,0.7273,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetSeg2classes_17_01_t2_Frontal.txt
Vgg_AUG_CV_DatasetSeg2classes_17_01,3,0,0.7755,0.9091,0.5,0.6452,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetSeg2classes_17_01_t3_Frontal.txt
Vgg_AUG_CV_DatasetSeg2classes_17_01,4,0,0.86,0.8333,0.7895,0.8108,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetSeg2classes_17_01_t4_Frontal.txt
Vgg_AUG_CV_DatasetSeg2classes_17_01,5,0,0.8511,0.7222,0.8667,0.7879,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetSeg2classes_17_01_t5_Frontal.txt
Vgg_AUG_CV_DatasetSeg2classes_17_01,6,0,0.8627,0.85,0.8095,0.8293,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetSeg2classes_17_01_t6_Frontal.txt
Vgg_AUG_CV_DatasetSeg2classes_17_01,7,0,0.82,0.75,0.7895,0.7692,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetSeg2classes_17_01_t7_Frontal.txt
Vgg_AUG_CV_DatasetSeg2classes_17_01,8,0,0.88,0.8824,0.7895,0.8333,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetSeg2classes_17_01_t8_Frontal.txt
Vgg_AUG_CV_DatasetSeg2classes_17_01,9,0,0.8627,0.8824,0.75,0.8108,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetSeg2classes_17_01_t9_Frontal.txt
Vgg_AUG_CV_DatasetSeg2classes_17_01,10,0,0.9423,0.8696,1.0,0.9302,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetSeg2classes_17_01_t10_Frontal.txt
Vgg_AUG_CV_DatasetSeg2classes_17_01,11,0,0.902,1.0,0.75,0.8571,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetSeg2classes_17_01_t11_Frontal.txt
Vgg_AUG_CV_DatasetSeg2classes_17_01,12,0,0.88,0.7826,0.9474,0.8571,Resultados30ModelosSeedsIndependentes/Vgg16/Vgg_AUG_CV_DatasetSeg2classes_17_01_t12_Frontal.txt
